"Date Range:","4/19/2018 00:00:00 to 4/29/2018 23:59:59"
"Report Timings:","All Hours"
"Show Zones:","Yes"
"Show Events:","Yes"
"Show Reports:","No"
"Show Trend Collections:","No"
""
"Thursday, April 19, 2018:"
"Zone","COWL.MZ2.SSTOZONE","","Enabled","06:00","18:30"
"Zone","COWL.SF1.ZONE","","Enabled","06:00","18:30"
"Zone","HICK.AH02.SSTOZONE","","Enabled","06:00","22:30"
"Zone","ACAD AHU1 SCHEDULE","","Enabled","06:00","22:30"
"Zone","HWC.AHU5.SSTOZone","","Enabled","06:00","18:00"
"Zone","T002.BUILDING SCHEDULE","","Enabled","06:00","18:30"
"Zone","ARS J1 HV-1 SCHED","","Enabled","06:00","21:00"
"Zone","YOUNG.AC12.SSTOZONE","","Enabled","06:00","22:30"
"Zone","YOUNG.AC11.SSTOZONE","","Enabled","06:00","22:30"
"Zone","TCAMP.BLDG.VENT.ZONE","","Enabled","06:00","21:00"
"Zone","TCAMP.EF.ZONE","","Enabled","06:00","21:00"
"Zone","TPOTT.EF.ZONE","","Enabled","06:00","21:00"
"Zone","TPOTT.BLDG.VENT.ZONE","","Enabled","06:00","21:00"
"Zone","TWALL.BLDG.VENT.ZONE","","Enabled","06:00","21:00"
"Zone","TWALL.EF.ZONE","","Enabled","06:00","21:00"
"Zone","TWALL.VFC1160AB.SSTOZONE","","Enabled","06:00","21:00"
"Zone","DUTTON HALL AHU01 SCHEDULE","","Enabled","06:00","22:00"
"Zone","DRAMA AC05 SCHEDULE","","Enabled","06:00","22:30"
"Zone","G155.AHU1.ZONE","","Enabled","06:00","19:00"
"Zone","COWL FC ROOMS","","Enabled","06:00","18:00"
"Zone","VMSS.AH1.ZONE","","Enabled","06:00","19:00"
"Zone","LSA.AHU05.SCHEDULE","","Enabled","06:00","20:30"
"Zone","MU.AHU02.ZONE","","Enabled","06:00","  >>"
"Zone","MEYRA.AHU10.EXPERIMENT START","","Enabled","06:00","  >>"
"Zone","MEYRA.AHU11.EXPERIMENT START","","Enabled","06:00","  >>"
"Zone","THURMAN ADMIN SCHEDULE","","Enabled","06:00","21:30"
"Zone","HWC.AHU1.SSTOZone","","Enabled","06:00","19:00"
"Zone","CHEM.194 ZONE","","Enabled","06:00","23:00"
"Zone","HUNT.1STFL.AHU.ZONE","","Enabled","06:00","22:30"
